PO #,Invoice #,Invoice Date,Total Amount
PO00654825,SAJ/2017/2228,04/27/2017,$472.00,
PO00677909,SAJ/2017/2193,04/27/2017,$153.00,
PO00678369,SAJ/2017/2192,04/27/2017,$92.75,
PO00677989,SAJ/2017/2191,04/27/2017,$115.20,
PO00678342,SAJ/2017/2190,04/27/2017,$115.20,
PO00678110,SAJ/2017/2189,04/27/2017,$92.75,
PO00678390,SAJ/2017/2188,04/27/2017,$122.50,
PO00678042,SAJ/2017/2187,04/27/2017,$106.00,
PO00678210,SAJ/2017/2186,04/27/2017,$92.75,
PO00677679,SAJ/2017/2185,04/27/2017,$175.00,
PO00678351,SAJ/2017/2184,04/27/2017,$79.50,
