PO #,Invoice #,Invoice Date,Total Amount
PO00816708,SAJ/2017/9635,12/27/2017,$298.08,
PO00818171,SAJ/2017/9633,12/27/2017,$203.50,
PO00818399,SAJ/2017/9632,12/27/2017,$97.50,
PO00818453,SAJ/2017/9631,12/27/2017,$97.50,
PO00814687,SAJ/2017/9630,12/27/2017,$133.75,
PO00814741,SAJ/2017/9629,12/27/2017,$259.00,
PO00818015,SAJ/2017/9628,12/27/2017,$82.75,
PO00818768,SAJ/2017/9627,12/27/2017,$135.00,
PO00816755,SAJ/2017/9626,12/27/2017,$92.75,
PO00817918,SAJ/2017/9625,12/27/2017,$133.75,
PO00816844,SAJ/2017/9624,12/27/2017,$92.75,
PO00817975,SAJ/2017/9623,12/27/2017,$369.00,
PO00817231,SAJ/2017/9622,12/27/2017,$129.00,
PO00816353,SAJ/2017/9621,12/27/2017,$82.75,
PO00820024,SAJ/2017/9620,12/27/2017,$103.50,
PO00818954,SAJ/2017/9619,12/27/2017,$175.00,
PO00818931,SAJ/2017/9618,12/27/2017,$177.00,
PO00819161,SAJ/2017/9617,12/27/2017,$122.50,
PO00819483,SAJ/2017/9616,12/27/2017,$126.00,
PO00820042,SAJ/2017/9615,12/27/2017,$92.75,
PO00819665,SAJ/2017/9614,12/27/2017,$92.75,
PO00820277,SAJ/2017/9613,12/27/2017,$210.00,
PO00820105,SAJ/2017/9612,12/27/2017,$122.50,
PO00820962,SAJ/2017/9611,12/27/2017,$122.50,
PO00819925,SAJ/2017/9610,12/27/2017,$280.00,
PO00820598,SAJ/2017/9609,12/27/2017,$92.75,
