PO #,Invoice #,Invoice Date,Total Amount
PO00808739,SAJ/2017/9348,12/07/2017,$215.00,
PO00809386,SAJ/2017/9347,12/07/2017,$125.00,
PO00809149,SAJ/2017/9346,12/07/2017,$118.08,
PO00809482,SAJ/2017/9345,12/07/2017,$312.00,
PO00810678,SAJ/2017/9344,12/07/2017,$122.50,
PO00810445,SAJ/2017/9343,12/07/2017,$81.00,
PO00807118,SAJ/2017/9342,12/07/2017,$103.50,
PO00810133,SAJ/2017/9341,12/07/2017,$133.50,
PO00810988,SAJ/2017/9340,12/07/2017,$90.25,
PO00809164,SAJ/2017/9339,12/07/2017,$92.75,
PO00809370,SAJ/2017/9338,12/07/2017,$637.80,
