PO #,Invoice #,Invoice Date,Total Amount
PO00716910,SAJ/2017/4707,07/13/2017,$175.00,
PO00714129,SAJ/2017/4706,07/13/2017,$175.00,
PO00720201,SAJ/2017/4682,07/13/2017,$342.50,
PO00719993,SAJ/2017/4681,07/13/2017,$92.75,
PO00721458,SAJ/2017/4679,07/13/2017,$246.25,
PO00722380,SAJ/2017/4677,07/13/2017,$92.75,
PO00720510,SAJ/2017/4676,07/13/2017,$306.00,
PO00722086,SAJ/2017/4675,07/13/2017,$97.50,
PO00721688,SAJ/2017/4674,07/13/2017,$97.50,
PO00720668,SAJ/2017/4673,07/13/2017,$135.00,
PO00721801,SAJ/2017/4672,07/13/2017,$122.50,
PO00721944,SAJ/2017/4671,07/13/2017,$170.00,
PO00720440,SAJ/2017/4670,07/13/2017,$132.50,
PO00723023,SAJ/2017/4669,07/13/2017,$121.50,
PO00720946,SAJ/2017/4668,07/13/2017,$121.50,
PO00723462,SAJ/2017/4667,07/13/2017,$90.25,
